,commentNum,uid,rankDate,nri,followerNum,name,followerNumInc,type,rankPosition,repostNum,likeNum,opusNum,huoshanFansNum,originalMusicBeUsedNum,toutiaoFansNum,followingNum,originalMusicNum,likeOpusNum,likeNum.1,fansTotal,douyinFansNum,dynamicNum,opusNum.1
87,56,105429159674,2019-01-13,733.7,870929,87,15726,Celebrity,0,159,8693,1,0,0,0,26,0,759,4294399,1362510,1362510,79,76
88,91,95895529026,2019-01-13,731.1,637099,88,19608,Celebrity,0,172,2994,2,0,0,524,55,0,235,2233466,842650,842126,96,91
89,1180,63024537898,2019-01-13,726.9,829626,89,675,Celebrity,0,225,25690,3,0,0,0,94,0,45,6938192,1043458,1043458,203,201
90,672,67872413944,2019-01-13,724.4,1512333,90,769,Celebrity,0,105,15274,1,0,93,0,65,6,432,6596460,1520535,1520535,63,61
91,2202,95554460029,2019-01-13,724.1,215912,91,5147,Celebrity,0,162,27689,1,0,0,17322,106,0,536,1468977,269323,252001,94,94
92,644,61421068028,2019-01-13,723.0,264715,92,57733,Celebrity,0,44,2451,2,0,0,0,374,0,5726,5073323,400117,400117,106,106
93,375,71066861026,2019-01-13,721.1,1068421,93,1579,Celebrity,0,132,9134,1,0,0,0,88,0,1530,7852653,1185900,1185900,176,165
94,569,61915187400,2019-01-13,720.3,903333,94,4304,Celebrity,0,41,16290,1,0,0,0,49,0,817,5337990,1571140,1571140,75,75
95,3113,56862687678,2019-01-13,719.5,9389082,95,-1188,Celebrity,0,706,25697,1,0,1253725,0,29,8,152,33493051,9472354,9472354,64,64
96,260,58146392181,2019-01-13,717.6,1598483,96,759,Celebrity,0,94,52856,1,0,0,469,137,0,1952,9850913,1585096,1584627,109,99
97,407,67073747937,2019-01-13,716.3,1108188,97,299,Celebrity,0,470,7498,5,479855,0,206981,0,0,187,7184547,1800052,1113216,1105,1105
98,1087,61578470667,2019-01-13,715.1,525599,98,691,Celebrity,0,256,24574,2,278,71031,362,57,9,57,7403821,631484,630844,29,23
99,107,63237378362,2019-01-13,713.4,421572,99,809,Celebrity,0,1984,7308,1,0,0,0,15,0,4,2876616,681691,681691,55,55
100,24707,60424463447,2019-01-13,1007.3,18979744,100,511558,Funny,1,20333,852476,1,0,0,0,70,0,103,146804672,24284547,24284547,114,94
101,7083,92977763488,2019-01-13,937.3,5129673,101,75820,Funny,1,6455,531863,1,668704,0,115784,11,0,585,110844761,8160833,7376345,243,234
102,5289,104160450271,2019-01-13,913.6,2477972,102,65077,Funny,1,8850,217358,1,0,0,977,9,0,740,17908223,3224518,3223541,91,71
103,3773,104445414692,2019-01-13,888.0,1388715,103,250564,Funny,1,976,676979,1,0,0,0,9,0,147,18591315,2115838,2115838,75,75
104,2097,58664008125,2019-01-13,887.1,8895551,104,30838,Funny,1,519,101783,1,751614,0,571998,6,0,1536,97659599,10344484,9020872,233,233
105,3793,58962334436,2019-01-13,869.1,1222738,105,25153,Funny,1,3788,170018,1,66,0,469,4,0,440,9388705,1300726,1300191,99,99
106,1647,95538091779,2019-01-13,865.4,1566165,106,28742,Funny,1,3180,188552,5,0,0,8835,162,0,1444,40445056,1708453,1699618,754,514
107,1822,61833980777,2019-01-13,861.2,3030650,107,12365,Funny,1,1734,193597,1,0,0,0,322,0,1140,31694016,3151496,3151496,345,345
